Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.010000000000000009,0.85,0.1327292704083245,0.3239427592943542,120,121.0,1.0,0.008264462809917356
Two Proportions (A/B),0.050000000000000044,0.95,0.4180868846262528,0.6908521321658183,80,85.0,5.0,0.058823529411764705
Two Proportions (A/B),0.09999999999999998,0.95,0.3402697603388084,0.36530214208352985,7882,7885.0,3.0,0.0003804692454026633
Two Proportions (A/B),0.010000000000000009,0.95,0.1509400372314023,0.24990525109282324,575,575.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.95,0.31443330003430897,0.42130779007825203,436,439.0,3.0,0.00683371298405467
Two Proportions (A/B),0.010000000000000009,0.8,0.20821841893119614,0.23804084702108413,4547,4549.0,2.0,0.00043965706748735987
Two Proportions (A/B),0.010000000000000009,0.85,0.15002157905042593,0.28552397413421204,236,237.0,1.0,0.004219409282700422
Two Proportions (A/B),0.010000000000000009,0.9,0.17290351700286888,0.1993133572854164,6456,6456.0,0.0,0.0
Two Proportions (A/B),0.050000000000000044,0.9,0.47277980552020865,0.6688827807367905,129,132.0,3.0,0.022727272727272728
Two Proportions (A/B),0.010000000000000009,0.95,0.3198182552824435,0.3875259755806802,1768,1773.0,5.0,0.0028200789622109417
Two Proportions (A/B),0.09999999999999998,0.95,0.37796050119802593,0.4173586414884421,3335,3338.0,3.0,0.0008987417615338526
Two Proportions (A/B),0.09999999999999998,0.95,0.14539636314826826,0.280681852150675,193,194.0,1.0,0.005154639175257732
Two Proportions (A/B),0.09999999999999998,0.85,0.04307624787507275,0.20349953624544528,57,54.0,3.0,0.05263157894736842
Two Proportions (A/B),0.050000000000000044,0.8,0.48563150725077464,0.5284895236217393,2133,2135.0,2.0,0.000936768149882904
Two Proportions (A/B),0.09999999999999998,0.8,0.371563642568957,0.5858844266969161,65,67.0,2.0,0.029850746268656716
Two Proportions (A/B),0.010000000000000009,0.9,0.17979684229683193,0.3051044320771644,341,343.0,2.0,0.0058309037900874635
Two Proportions (A/B),0.050000000000000044,0.95,0.1106131399663319,0.26069465225841,168,168.0,0.0,0.0
Two Proportions (A/B),0.050000000000000044,0.9,0.2793070715800708,0.4893429378620259,108,111.0,3.0,0.02702702702702703
Two Proportions (A/B),0.010000000000000009,0.85,0.301726234016716,0.36163830883532155,1606,1609.0,3.0,0.0018645121193287756
Two Proportions (A/B),0.010000000000000009,0.95,0.04348371137434606,0.1782923887846761,185,175.0,10.0,0.05405405405405406
Two Proportions (A/B),0.09999999999999998,0.85,0.055126674084122154,0.22560658876086725,57,55.0,2.0,0.03508771929824561
Two Proportions (A/B),0.010000000000000009,0.85,0.35485823238534875,0.4731035785795488,447,451.0,4.0,0.008869179600886918
Two Proportions (A/B),0.050000000000000044,0.8,0.23083637272006743,0.4357326239582209,80,82.0,2.0,0.024390243902439025
Two Proportions (A/B),0.050000000000000044,0.8,0.2676205475839761,0.3499826139670682,491,492.0,1.0,0.0020325203252032522
Two Proportions (A/B),0.09999999999999998,0.85,0.09530002090260034,0.13924917291560923,768,765.0,3.0,0.00390625
Two Proportions (A/B),0.010000000000000009,0.95,0.31000649387330387,0.3818011463918982,1555,1560.0,5.0,0.003205128205128205
Two Proportions (A/B),0.050000000000000044,0.85,0.013274243319705012,0.24724153771765442,33,28.0,5.0,0.15151515151515152
Two Proportions (A/B),0.09999999999999998,0.8,0.34325482386901657,0.471618814220359,179,181.0,2.0,0.011049723756906077
